accuracy,n_estimators,learning_rate,max_depth
0.6013933376041,167,0.2178787878787879,22
0.6353379244074311,302,0.2178787878787879,4
0.5906630365150545,280,0.4802020202020202,23
0.6121156310057655,239,0.06444444444444444,28
0.5843970211402947,206,0.2673737373737374,28
0.579936739269699,313,0.32181818181818184,20
0.6282030749519538,54,0.38616161616161615,11
0.6085241832158872,91,0.059494949494949496,2
0.6451593529788597,80,0.25747474747474747,6
0.6067464766175529,433,0.4307070707070707,17
0.5906830557335041,346,0.4356565656565657,29
0.587984465086483,104,0.10404040404040403,15
0.5844170403587444,121,0.05454545454545455,17
0.6308776425368354,150,0.0297979797979798,9
0.6335482062780269,47,0.302020202020202,5
0.6031790518898142,113,0.01,20
0.5987267777065984,50,0.4307070707070707,30
0.605833600256246,262,0.48515151515151517,27
0.6353499359385009,273,0.07929292929292929,12
0.6416159513132607,47,0.306969696969697,6
0.5915639013452914,40,0.45545454545454545,25
0.6362227738629084,295,0.3168686868686869,12
0.5897781870595772,130,0.45545454545454545,27
0.581730461242793,229,0.3812121212121212,26
0.5826273222293402,439,0.3614141414141414,30
0.6362147661755285,295,0.17333333333333334,3
0.6254964766175528,54,0.0891919191919192,8
0.6058736386931454,96,0.0396969696969697,13
0.5996036194746956,144,0.0297979797979798,17
0.6067544843049328,177,0.10898989898989898,27
0.6067464766175529,409,0.22282828282828285,26
0.5888853299167202,392,0.3465656565656566,29
0.6120956117873158,169,0.03474747474747475,2
0.5978299167200513,81,0.4604040404040404,20
0.6460562139654067,228,0.07434343434343435,9
0.609433055733504,192,0.22282828282828285,25
0.5870996156310058,213,0.4257575757575758,26
0.5960281870595773,499,0.019898989898989902,22
0.6380325112107623,290,0.47030303030303033,4
0.6031830557335042,76,0.01,22
0.6380245035233825,83,0.4307070707070707,2
0.6362107623318385,286,0.4505050505050505,7
0.621044202434337,460,0.05454545454545455,1
0.6219170403587444,358,0.207979797979798,3
0.6058656310057655,368,0.46535353535353535,30
0.5951273222293401,212,0.47525252525252526,29
0.6237267777065982,279,0.22777777777777777,13
0.6049567584881486,413,0.20303030303030303,19
0.587087604099936,248,0.31191919191919193,19
0.6112227738629084,448,0.07434343434343435,16
