accuracy,n_estimators,learning_rate,max_depth
0.6487427930813581,69.0,0.3663636363636364,11.0
0.5772621716848174,215.0,0.33666666666666667,26.0
0.5933736386931454,45.0,0.17333333333333334,15.0
0.648746796925048,158.0,0.15848484848484848,9.0
0.6496316463805254,434.0,0.3762626262626263,6.0
0.5933456117873158,38.0,0.35151515151515156,18.0
0.6263973414477899,343.0,0.46535353535353535,13.0
0.5996036194746958,159.0,0.47525252525252526,24.0
0.612980461242793,11.0,0.11393939393939394,9.0
0.606746476617553,300.0,0.0396969696969697,25.0
0.6210522101217169,44.0,0.2772727272727272,2.0
0.6147741832158873,205.0,0.01,11.0
0.634449071108264,79.0,0.4406060606060606,2.0
0.608540198590647,146.0,0.11888888888888888,28.0
0.6282030749519538,308.0,0.47030303030303033,14.0
0.6442624919923126,419.0,0.04464646464646464,6.0
0.5906830557335041,16.0,0.1386868686868687,19.0
0.6049767777065982,85.0,0.01,25.0
0.5924687700192184,452.0,0.4208080808080808,30.0
0.6112347853939782,333.0,0.11888888888888888,25.0
0.6058656310057655,81.0,0.019898989898989902,21.0
0.6085482062780269,438.0,0.11393939393939394,22.0
0.6237467969250481,279.0,0.15848484848484848,14.0
0.6317584881486227,33.0,0.19808080808080808,9.0
0.6192584881486227,247.0,0.18323232323232325,16.0
0.5880084881486226,12.0,0.11888888888888888,29.0
0.586182735426009,133.0,0.2673737373737374,29.0
0.6496316463805254,434.0,0.3762626262626263,6.0
0.648746796925048,158.0,0.15848484848484848,9.0
0.6487427930813581,69.0,0.3663636363636364,11.0
0.6442624919923126,419.0,0.04464646464646464,6.0
0.634449071108264,79.0,0.4406060606060606,2.0
0.6317584881486227,33.0,0.19808080808080808,9.0
0.6282030749519538,308.0,0.47030303030303033,14.0
0.6263973414477899,343.0,0.46535353535353535,13.0
0.6237467969250481,279.0,0.15848484848484848,14.0
0.6496316463805254,434.0,0.3762626262626263,6.0
0.648746796925048,158.0,0.15848484848484848,9.0
0.6487427930813581,69.0,0.3663636363636364,11.0
0.6496316463805254,434.0,0.3762626262626263,6.0
0.5996076233183857,391.0,0.12878787878787878,17.0
0.6398022101217169,448.0,0.4604040404040404,4.0
0.6067544843049327,252.0,0.09414141414141414,19.0
0.5727938821268418,355.0,0.2723232323232323,24.0
0.6246236386931454,195.0,0.0297979797979798,3.0
0.6237307815502884,74.0,0.019898989898989902,7.0
0.5870836002562461,284.0,0.2871717171717172,16.0
0.5995996156310058,295.0,0.01,25.0
0.6112267777065983,283.0,0.14858585858585857,29.0
0.6201633568225496,116.0,0.22282828282828285,1.0
0.6174847853939782,85.0,0.10404040404040403,2.0
0.6308576233183857,487.0,0.25252525252525254,3.0
0.6398022101217169,448.0,0.4604040404040404,4.0
0.6308576233183857,487.0,0.25252525252525254,3.0
0.6246236386931454,195.0,0.0297979797979798,3.0
0.6237307815502884,74.0,0.019898989898989902,7.0
0.6398022101217169,448.0,0.4604040404040404,4.0
0.5969330557335042,285.0,0.2178787878787879,28.0
0.6005084881486227,303.0,0.13373737373737374,14.0
0.5951233183856501,105.0,0.5,16.0
0.6406870595771941,279.0,0.11888888888888888,6.0
0.598686739269699,165.0,0.19313131313131315,19.0
0.6067624919923126,74.0,0.02484848484848485,18.0
0.6406870595771941,279.0,0.11888888888888888,6.0
0.6067624919923126,74.0,0.02484848484848485,18.0
0.6469410634208841,156.0,0.2822222222222222,11.0
0.6013933376040999,330.0,0.16838383838383839,23.0
0.5719410634208841,14.0,0.23272727272727273,20.0
0.6380084881486227,145.0,0.1386868686868687,7.0
